symbol,entry_date,exit_date,direction,entry_price,exit_price,quantity,pnl,fees,strategy,confluence,notes,tags
GBPUSD,2025-09-20 09:00:00,2025-09-20 10:45:00,long,1.2700,1.2730,4,1200,-15,Breakout,Key Level,Support breakout.,winner;breakout
SPX500,2025-09-20 14:30:00,2025-09-20 15:45:00,short,4665.00,4650.00,3,450,-20,Reversal,EMA Cross,Reversal at daily high.,winner;reversal
US30,2025-09-23 09:15:00,2025-09-23 12:00:00,long,34800.00,35020.00,2,4400,-25,Trend Following,Volume Spike,Excellent trend day.,winner;trend
NAS100,2025-09-23 13:30:00,2025-09-23 15:00:00,short,16150.00,16120.00,3,900,-18,Support/Resistance,Price Action,Clean resistance rejection.,winner;resistance
EURUSD,2025-09-24 08:00:00,2025-09-24 09:00:00,long,1.0950,1.0935,5,-750,-12,Breakout,Key Level,False breakout.,loser;false
US30,2025-09-24 11:00:00,2025-09-24 13:30:00,short,35050.00,34920.00,2,2600,-25,Momentum,Multiple Timeframe,Strong momentum reversal.,winner;momentum
GBPUSD,2025-09-25 10:30:00,2025-09-25 12:00:00,short,1.2760,1.2735,4,1000,-15,Reversal,Price Action,Good reversal setup.,winner;reversal
SPX500,2025-09-25 14:00:00,2025-09-25 15:30:00,long,4680.00,4700.00,3,600,-20,Breakout,EMA Cross,Late day breakout.,winner;breakout
US30,2025-09-26 09:30:00,2025-09-26 10:30:00,long,34950.00,34980.00,2,600,-25,Support/Resistance,Key Level,Quick bounce.,winner;support
NAS100,2025-09-26 13:00:00,2025-09-26 14:15:00,short,16180.00,16200.00,3,-600,-18,Trend Following,Volume Spike,Wrong trend direction.,loser;stopped
EURUSD,2025-09-27 07:30:00,2025-09-27 09:15:00,short,1.0965,1.0945,5,1000,-12,Momentum,Price Action,Clean momentum continuation.,winner;momentum
US30,2025-09-27 11:00:00,2025-09-27 13:00:00,long,35000.00,35180.00,2,3600,-25,Breakout,Multiple Timeframe,Perfect breakout trade.,winner;breakout
GBPUSD,2025-09-30 09:00:00,2025-09-30 10:30:00,long,1.2740,1.2770,4,1200,-15,Support/Resistance,Key Level,Support held perfectly.,winner;support
SPX500,2025-09-30 14:30:00,2025-09-30 16:00:00,short,4710.00,4695.00,3,450,-20,Reversal,EMA Cross,End of month reversal.,winner;reversal
US30,2025-10-01 10:00:00,2025-10-01 11:45:00,short,35120.00,35090.00,2,600,-25,Momentum,Volume Spike,Quick scalp.,winner;scalp
NAS100,2025-10-01 13:30:00,2025-10-01 15:00:00,long,16220.00,16280.00,3,1800,-18,Trend Following,Price Action,Afternoon trend.,winner;trend
EURUSD,2025-10-02 08:00:00,2025-10-02 09:30:00,long,1.0975,1.0995,5,1000,-12,Breakout,Key Level,Morning breakout.,winner;breakout
US30,2025-10-02 10:30:00,2025-10-02 11:30:00,long,35150.00,35120.00,2,-600,-25,Support/Resistance,Multiple Timeframe,Support failed.,loser;failed
